id,nom,link,ingredients,pas,temps,catégorie,nationalité_recette,convive,valeur_nutritionnelle
1,Receta para hacer arroz chaufa peruano ,https://www.comedera.com/receta-para-hacer-arroz-chaufa/,"['1/2 kg de pechuga', '1/2 kg de arroz', '1 taza  de cebolla de verdeo  cortada', '2 dientes de ajo', '2 cditas de jengibre  rallado', '3/4 taza de salsa de soja', '1 cdita de condimento 5 especias', '1/2 cdita de pimienta', 'Sal al gusto', '6 huevos']","['Inicia la receta y corta la pechuga en cubos medianos, coloca en un bol.', 'Posteriormente, toma los dientes de ajo y filetea e incorpora la mitad al bol con el pollo. También agrega el condimento 5 especias, el jengibre, un poco de pimienta y la mitad de la salsa de soja.', 'Mezcla muy bien el pollo con los condimentos. Deja marinar por unos minutos.', 'Cocina el arroz con agua y sal hasta que quede al dente y suelto, apaga y deja enfriar.', 'Calienta un sartén con un poco de aceite, mientras vierte los huevos en un bol, bate y posteriormente incorpora en el sartén. Cocina hasta hacerlos revueltos. Apaga y reserva.', 'Ahora, calienta un wok y agrega un poco de aceite, cuando esté a temperatura incorpora la pechuga de pollo y saltea por 7 minutos hasta que esté bien doradita.', 'Una vez el pollo esté salteado y doradito, agrega el arroz, la otra mitad del ajo triturado, sal y pimienta al gusto y el restante de la salsa de soja- Mezcla muy bien hasta que se integren y saltea por 4 minutos sin dejar de mover.', 'Por último, incorpora el huevo revuelto cocido, integra y termina de saltear por 3 minutos más. Rectifica de sal y listo.', 'Sirve con la cebolla de verdeo, y disfruta. ¡Buen provecho!']",['10 minutos minutos'],['receta facil'],['Peruana'],[],['360kcal']
2,Receta fácil de sopa de pollo peruana ,https://www.comedera.com/haz-sopa-de-pollo-peruana/,"['1 pollo completo despresado', '1 trozo pequeño de jengibre', '2 papas grandes', '1 cebolla mediana', '1 cdta  ajo molido', 'sal al gusto', '1 lt  de agua', '½ fideos para sopa', '1 zanahoria', '1 huevo duro']","['Lo primero que haremos será lavar bien las presas de pollo.', 'Luego en una olla agregaremos un trozo de jengibre cortado en pedazos, la zanahoria pelada y cortada en cruz, los trozos de pollo, la papa amarilla lavada, pelada y cortada en trozos y la cebolla.', 'Después cubrimos todos los ingredientes con agua, dejamos cocinar hasta que la papa se haya deshecho.', 'Transcurrido un tiempo prudencial, revisamos si el pollo ya está blando y agregamos sal y el ajo en polvo.', 'Seguidamente agregamos los fideos y dejamos cocinar por unos 5 minutos más, si el caldo se está secando puedes agregar más agua.', 'La sopa está lista, sirve inmediatamente en un plato hondo primero los fideos, luego el huevo duro, la presa y cubre con caldo.']",['10 minutos minutos'],['receta facil'],['Peruana'],['7 personas'],['140kcal']
3,Receta de tiradito de salmón con sésamo ,https://www.comedera.com/tiradito-de-salmon-con-sesamo/,"['1  cebolla  picada', '1 diente de ajo', '1 cda azúcar moreno', '2 cdas  salsa de soja', '½ vaso de vino blanco', 'Cilantro al gusto', '1 rodaja de lima', '150 grs salmón', 'Semillas de sésamo al gusto']","['Sobre una tabla de picar, corta la cebolla y el diente de ajo.', 'En una sartén, pocha con aceite de oliva la cebolla picada y el diente de ajo.', 'Agrega la cucharada de azúcar moreno y un poco de agua.', 'Tapa y dejamos reducir.', 'Pon en una sartén el salmón cortado en trozos medianos, con 2 cucharadas de salsa de soja y medio vaso de vino blanco.', 'Agrega cilantro, una rodaja de lima. Tapa y deja cocinar 5 min.', 'En un plato coloca los trozos de salmón, encima la cebolla y decora con las semillas de sésamo y hojas de cilantro. Adereza con el jugo de cocción.']",['5 minutos minutos'],['receta facil'],['Peruana'],['2 personas'],['307kcal']
4,Receta de arroz chaufa de carne ,https://www.comedera.com/receta-de-arroz-chaufa-de-carne/,"['14,10  onzas (400 gr) de carne', '2 tbps (Cucharada) de Pasta de Ajo', '1 tps (Cucharadita) de Salsa de Soya', 'Sal y pimienta al gusto', '4 cup  (tazas) de arroz cocido', '1 pimiento picado', '1 tbps (Cucharada) de jugo de Jengibre', '6 tallos  de cebollas chinas', '½ tbps (Cucharada) de Azúcar (o ajinomoto opcionla)', '4 tbps (Cucharadas) de Salsa de Soya Oscura', '1 tbps (Cucharada) de Salsa de Ostion', '½ tps (Cucharadita) de canela china (opcional)', '3  gotas  de aceite de sésamo', '2  huevos', 'Sal al gusto']","['Sobre una tabla de picar, cortamos la carne en cubos pequeños. Tratando de que tengan un tamaño similar.', 'Sazonamos con la pasta de ajo, la pimienta, la salsa de soya, dejamos marinar por 10 minutos.', 'Cortamos los vegetales: la cebolla china (tanto lo blanco como lo verde), el pimiento en cubo.', 'En una sartén agregamos un poco de aceite y cuando esté caliente añadimos la carne y dejamos cocinar por 4 minutos aproximadamente. Reservamos.', 'Agregamos los huevos batidos y cocemos, cuando tenga una capa cocida empezamos a mezclar con una cuchara, no necesitamos voltearla sino que se cocine todo el huevo. Reservamos.', 'En la sartén limpia, vamos a sofreír la parte blanca de la cebolla china, agregamos el jengibre y la pasta de ajo, cocinamos por 2 minutos.', 'Añadimos el pimiento y dejamos cocinar por 1 minuto.', 'Agregamos el arroz y mezclamos bien.', 'Agregamos la carne y el huevo y mezclamos muy bien.', 'Agregamos la soya, salsa de ostión, azúcar o ajinomoto.', 'Finalizamos con las gotas de aceite ajonjolí sin dejar de mezclar.', 'Con el sartén apagado, añadimos la parte verde de la cebolla china y está listo para servir.']",['10 minutos minutos'],['receta rápida'],['Peruana'],['4 personas'],['363kcal']
5,"Chaufa de pollo, receta peruana ",https://www.comedera.com/chaufa-de-pollo-receta-peruana/,"['4 cups (tazas) de arroz cocido suelto', '7 oz (200 gr) de pollo', '7 oz (200 ml) de aceite de sésamo', '3 oz (100 ml) salsa de ostras', '1 pedazo\xa0de jengibre fresco', '1 cda de salsa de soja', '1 pimentón', '1 ramillete de cebolleta tierna', '2 dientes de ajo', '2 ramillete\xa0de cebolleta china', '½ zanahoria', '4 huevos', '4 cda aceite de oliva suave', '1 cda azúcar']","['Pica la cebolleta tierna fina para que sea la base del arroz, pica también el pimiento rojo retirando las semillas y las partes blancas. Pela la zanahoria y pícala en cuadritos pequeños.', 'Bate los huevos junto a los aliños, y agrégalos al sartén , para preparar una tortilla estilo francesa.', 'Tritura el diente de ajo con el jengibre y un poco de aceite hasta hacer una pasta. Reserva.', 'Pica también la cebolleta china (verde) muy fina y trocea el pollo en cuadraditos.', 'Calienta una sartén o un wok a fuego fuerte y añade el aceite con la pasta de ajo y jengibre, saltea apenas unos segundos hasta que empiece a dorarse y añade la cebolleta blanca picada (no la china), el pimiento rojo y la zanahoria. Saltea y cuida de que no se queme.', 'Añade el pollo picado y saltea para que se dore bien por fuera y se cocine por dentro.', 'Agrega el arroz cocido y deja que se tueste ligeramente, todo siempre a fuego fuerte, en la sartén.', 'Añade todas las salsas y remueve bien, salpimienta.', 'Incorpora también la tortilla en el último minuto y la cebolleta verde china picada.\xa0Saltea a fuego fuerte sin dejar de remover.', 'Apaga y sirve caliente.', '¡Disfruta!']",['10 minutos minutos'],['Receta tradicional'],['Peruana'],['4 personas'],['560kcal']
6,Cómo hacer tallarines a la huancaína ,https://www.comedera.com/como-hacer-tallarines-a-la-huancaina/,"['6 \xa0ajíes amarillos frescos', '½ cup (taza) de leche evaporada', '5 paq.  galletas de soda', '7,05 onzas (200\xa0gramos)\xa0de queso blanco fresco', '3,38 onzas (100\xa0ml)\xa0de aceite vegetal', 'Sal al gusto', 'Pimienta al gusto']","['Limpiamos los ajíes, retiramos las semillas y la vena blanca que tiene en el interior.', 'Agregamos los ajíes en una olla con un poco de agua y los dejamos en ebullición. No deben hervir más de 5 minutos. Resérvalos.', 'Agrégalos en un vaso de licuadora con el aceite vegetal y comienza a mezclar.', 'Ve agregando poco a poco los demás ingredientes: las galletas, la leche evaporada, el queso blanco, la sal y la pimienta.', 'Puedes ir corrigiendo la textura de tu salsa agregando más queso o galleta o más leche, dependiendo de que tan espesa la quieras.', 'Una vez tu salsa tenga la textura deseada pues ya está, la sacas de la licuadora y la pones en un recipiente.']",['17 minutos minutos'],['en salsa'],['Peruana'],['4 personas'],['600kcal']
7,"Mostrito, receta peruana ",https://www.comedera.com/mostrito-receta-peruana/,"['4 cups (tazas) de arroz blanco cocinado previamente', 'medio pimentón', '4 huevos', '1 ají amarillo peruano', '2 tallos de cebollino\xa0cebolla china', '1 trozo de jengibre', 'Una pizca de ajinomoto', 'Salsa de soja\xa0 (en Perú le dicen Sillao)', 'Aceite vegetal', 'Sal', '1 pechuga de pollo']","['Primero procede a dejar todo picado: el pollo y la carne (o las proteínas que uses) pícales en cubos medianos ó en tiritas. El pimiento, el ají y el cebollín córtalo en cubos más pequeños, y el jengibre aún más pequeño, también puedes rallarlo.', 'Cocina los huevos en tortilla y reserva.', 'El arroz blanco recuerda que debe estar cocinado previamente', 'Calienta un wok ó una sartén grande y profunda, agrégale aceite o manteca de cerdo y calienta hasta que comience a salir humo. En este momento vas a agregar el pimentón, el ají. el, jengibre, cebollín y cualquier otro vegetal que desees.', 'Incorpora también el pollo en cubos.', 'Revuelve constantemente. Agrégale una pizca de ajinomoto y de sal.', 'Pon el arroz blanco y mezcla bien un par de minutos más.', 'Retira del fuego y reserva.']",['25 minutos minutos'],['Receta tradicional'],['Peruana'],['4 personas'],['690kcal']
8,"Cómo hacer causa acevichada, delicia peruana ",https://www.comedera.com/causa-acevichada/,"['10, 58 onzas de papa amarilla  (300 gramos )', '4 Tbsp de pasta de ají amarillo (cucharadas)', '2 Tbsp de zumo de Limón  (cucharadas)', '1 Tbsp de aceite Vegetal (cucharada)', '½ Tbsp  Palta (aguacate)  (cucharada)', 'mayonesa al gusto']","['Cocina la papa amarilla en abundante agua por 20 minutos. Revisa que esté blanda antes de sacarla de la olla.', 'Pasa la papa amarilla cuando aún esté caliente por un pasa puré, hazlo una o dos veces.', 'Agregar sal al gusto y 4 (tbsp) cucharadas de pasta de ají amarillo y 2 cucharadas de zumo de limón.', 'Amasa bien y agregar 1 cucharada de aceite vegetal para formar una masa más homogénea.', 'Con un molde de aro arma la capa de causa, agrega las láminas de palta, mayonesa y otra capa de causa encima. Reservar.']",['10 minutos minutos'],['Receta tradicional'],['Peruana'],[],['289kcal']
9,Receta de seco de pato peruano ,https://www.comedera.com/receta-de-seco-de-pato-peruano/,"['½ pato mediano  (5 presas)', '1 cup de chicha de jora', '½ cup  de culantro licuado', '1 cup  de cebolla  picada en cubos', '2 Tbsp.  de ají amarillo  cucharadas', '1 Tbsp de ají colorado o panca  cucharadas', '1 rodaja de zapallo loche cortado en finas tiras', '½ Tsp de pimienta cucharadita', '½ T  de comino', '4 sp dientes de ajos  triturados', '1 Tbsp de aceite vegetal', 'sal y pimienta al gusto']","['En una cazuela, sartén o caldero, agrega el aceite y cuando esté caliente incorpora las presas de pato por la parte de la piel, Para que el interior quede bien jugoso y suelte la grasa.', 'Una vez sellados el pato, lo retiramos de la sartén y añadimos las cebollas hasta que se doren un poco.', 'Seguidamente agrega el ajo, el comino y seguimos cocinando por un minuto más.', 'Agrega el ají colorado, y dos cucharaditas del amarillo sin dejar de remover.', 'Incorpora al sofrito el zapallo loche.', 'Añade la pimienta y el culantro. Cocina por un minuto más hasta que el sofrito se haga una pasta.', 'Es momento de añadir las presas de pato, y cubrimos con la chicha de jora.', 'Bañamos con el jugo del sofrito y la chicha las presas, subimos un poco la llama de la estufa y tapamos para que se cocine por 4 minutos.', 'Agrega dos cups de agu y la sal. Tapa y cocina por 35 minutos checando que no se consuma completamente el agua.', 'Sirve y disfruta con frejoles y arroz blanco.']",['10 minutos minutos'],['Receta tradicional'],['Peruana'],['4 personas'],['227kcal']
10,Receta de lomo al jugo peruano ,https://www.comedera.com/receta-de-lomo-al-jugo-peruano/,"['35  oz  de lomo fino 1 kilo', '3  tomates', '3  cebollas', '1 ají amarillo', '1 cup  de sillao', '2 cda de vinagre tinto', '1 cda.   de ajo molido', 'Sal y Pimienta al gusto', '1 cda. Culantro picado', 'Aceite vegetal', '4 porciones  de arroz blanco cocido']","['Corta el lomo en tiras gruesas. Después, sazonar con\xa0sal, pimienta y ajo molido.', 'Corta los tomates y las\xa0cebollas\xa0en gajos gruesos. Luego, corta el\xa0ají\xa0amarillo en tiras delgadas.', 'Lleva el wok al fuego. Cuando esté caliente, añade un chorro de aceite vegetal y espera a que empiece a humear.', 'Agrega el lomo y deja freír sin mover.', 'Cuando la carne esté dorada, por un lado, empezar a saltear y flamear. Puedes echar un chorrito de pisco después de echar la carne para poder flamear (hazlo con mucho cuidado, pues el fuego puede ser alto).', 'Agrega las cebollas, el ají amarillo y el vinagre. Sin dejar de saltear.', 'Añade los tomates y el sillao. Y sigue salteando.', 'Incorpora el culantro, remueve un poco más y sirve caliente con arroz blanco.']",['3 minutos minutos'],['A la sartén'],['Peruana'],['4 porciones'],['129kcal']
